"Epoch","fiery-cherry-32 - _step","fiery-cherry-32 - _step__MIN","fiery-cherry-32 - _step__MAX","fiery-cherry-32 - Train accuracy","fiery-cherry-32 - Train accuracy__MIN","fiery-cherry-32 - Train accuracy__MAX"
"1","500","500","500","0.34372","0.34372","0.34372"
"2","1003","1003","1003","0.41766","0.41766","0.41766"
"4","2007","2007","2007","0.53322","0.53322","0.53322"
"6","3011","3011","3011","0.6130800000000001","0.6130800000000001","0.6130800000000001"
"7","3513","3513","3513","0.65016","0.65016","0.65016"
"8","4015","4015","4015","0.6725599999999999","0.6725599999999999","0.6725599999999999"
"9","4517","4517","4517","0.7004199999999999","0.7004199999999999","0.7004199999999999"
"10","5019","5019","5019","0.7176","0.7176","0.7176"
"11","5521","5521","5521","0.7319199999999999","0.7319199999999999","0.7319199999999999"
"12","6024","6024","6024","0.7463","0.7463","0.7463"
"13","6526","6526","6526","0.75614","0.75614","0.75614"
"14","7028","7028","7028","0.76718","0.76718","0.76718"
"16","8032","8032","8032","0.7908","0.7908","0.7908"
"17","8534","8534","8534","0.7965800000000001","0.7965800000000001","0.7965800000000001"
"19","9538","9538","9538","0.81414","0.81414","0.81414"
"20","10040","10040","10040","0.8244000000000001","0.8244000000000001","0.8244000000000001"
"21","10542","10542","10542","0.8261200000000001","0.8261200000000001","0.8261200000000001"
"23","11547","11547","11547","0.8379","0.8379","0.8379"
"24","12049","12049","12049","0.8442799999999999","0.8442799999999999","0.8442799999999999"
"25","12551","12551","12551","0.8465","0.8465","0.8465"
"27","13555","13555","13555","0.85392","0.85392","0.85392"
"29","14559","14559","14559","0.8579200000000001","0.8579200000000001","0.8579200000000001"
"30","15061","15061","15061","0.85976","0.85976","0.85976"
"31","15563","15563","15563","0.8636","0.8636","0.8636"
"32","16066","16066","16066","0.8661800000000001","0.8661800000000001","0.8661800000000001"
"34","17070","17070","17070","0.8718599999999999","0.8718599999999999","0.8718599999999999"
"35","17572","17572","17572","0.8734400000000001","0.8734400000000001","0.8734400000000001"
"37","18576","18576","18576","0.87724","0.87724","0.87724"
"38","19078","19078","19078","0.8785999999999999","0.8785999999999999","0.8785999999999999"
"41","20584","20584","20584","0.88384","0.88384","0.88384"
