"Epoch","fiery-cherry-32 - _step","fiery-cherry-32 - _step__MIN","fiery-cherry-32 - _step__MAX","fiery-cherry-32 - Validation accuracy","fiery-cherry-32 - Validation accuracy__MIN","fiery-cherry-32 - Validation accuracy__MAX"
"31","15565","15565","15565","0.8414999999999999","0.8414999999999999","0.8414999999999999"
"41","20586","20586","20586","0.8485","0.8485","0.8485"
"51","25607","25607","25607","0.8756","0.8756","0.8756"
"61","30628","30628","30628","0.867","0.867","0.867"
"81","40670","40670","40670","0.8811999999999999","0.8811999999999999","0.8811999999999999"
"91","45691","45691","45691","0.8967000000000002","0.8967000000000002","0.8967000000000002"
"111","55733","55733","55733","0.8945000000000003","0.8945000000000003","0.8945000000000003"
"121","60754","60754","60754","0.9015000000000002","0.9015000000000002","0.9015000000000002"
"151","75817","75817","75817","0.9076000000000001","0.9076000000000001","0.9076000000000001"
"171","85859","85859","85859","0.9111","0.9111","0.9111"
"181","90880","90880","90880","0.9121000000000001","0.9121000000000001","0.9121000000000001"
"191","95901","95901","95901","0.9149000000000003","0.9149000000000003","0.9149000000000003"
"211","105943","105943","105943","0.9199","0.9199","0.9199"
"221","110964","110964","110964","0.925","0.925","0.925"
"231","115985","115985","115985","0.9289999999999999","0.9289999999999999","0.9289999999999999"
"251","126027","126027","126027","0.9340999999999999","0.9340999999999999","0.9340999999999999"
"261","131048","131048","131048","0.9326999999999999","0.9326999999999999","0.9326999999999999"
"301","151132","151132","151132","0.9337000000000002","0.9337000000000002","0.9337000000000002"
