"Epoch","jumping-pine-25 - _step","jumping-pine-25 - _step__MIN","jumping-pine-25 - _step__MAX","jumping-pine-25 - Train accuracy","jumping-pine-25 - Train accuracy__MIN","jumping-pine-25 - Train accuracy__MAX"
"1","556","556","556","0.2182573940847322","0.2182573940847322","0.2182573940847322"
"2","1115","1115","1115","0.2511111111111111","0.2511111111111111","0.2511111111111111"
"3","1673","1673","1673","0.2998521183053557","0.2998521183053557","0.2998521183053557"
"5","2789","2789","2789","0.43125099920063953","0.43125099920063953","0.43125099920063953"
"7","3905","3905","3905","0.49615107913669065","0.49615107913669065","0.49615107913669065"
"8","4463","4463","4463","0.5220863309352517","0.5220863309352517","0.5220863309352517"
"9","5021","5021","5021","0.5458113509192646","0.5458113509192646","0.5458113509192646"
"10","5579","5579","5579","0.5664428457234212","0.5664428457234212","0.5664428457234212"
"13","7254","7254","7254","0.6235251798561151","0.6235251798561151","0.6235251798561151"
"14","7812","7812","7812","0.636982414068745","0.636982414068745","0.636982414068745"
"17","9486","9486","9486","0.6797721822541967","0.6797721822541967","0.6797721822541967"
"18","10044","10044","10044","0.6854436450839329","0.6854436450839329","0.6854436450839329"
"19","10602","10602","10602","0.69863309352518","0.69863309352518","0.69863309352518"
"23","12835","12835","12835","0.7245323741007195","0.7245323741007195","0.7245323741007195"
"25","13951","13951","13951","0.7344084732214229","0.7344084732214229","0.7344084732214229"
"26","14509","14509","14509","0.7385651478816947","0.7385651478816947","0.7385651478816947"
"28","15625","15625","15625","0.748453237410072","0.748453237410072","0.748453237410072"
"30","16741","16741","16741","0.7614108713029576","0.7614108713029576","0.7614108713029576"
"32","17858","17858","17858","0.7679376498800959","0.7679376498800959","0.7679376498800959"
"36","20090","20090","20090","0.7838329336530775","0.7838329336530775","0.7838329336530775"
"38","21206","21206","21206","0.7922861710631494","0.7922861710631494","0.7922861710631494"
"39","21764","21764","21764","0.7934892086330935","0.7934892086330935","0.7934892086330935"
"41","22880","22880","22880","0.7968225419664268","0.7968225419664268","0.7968225419664268"
"42","23439","23439","23439","0.8028137490007993","0.8028137490007993","0.8028137490007993"
"43","23997","23997","23997","0.8025859312549959","0.8025859312549959","0.8025859312549959"
"46","25671","25671","25671","0.8106994404476418","0.8106994404476418","0.8106994404476418"
"47","26229","26229","26229","0.8143525179856115","0.8143525179856115","0.8143525179856115"
"48","26787","26787","26787","0.8178377298161471","0.8178377298161471","0.8178377298161471"
"50","27903","27903","27903","0.8214268585131893","0.8214268585131893","0.8214268585131893"
"56","31252","31252","31252","0.8340127897681853","0.8340127897681853","0.8340127897681853"
"58","32368","32368","32368","0.8372142286171063","0.8372142286171063","0.8372142286171063"
"59","32926","32926","32926","0.8407034372501997","0.8407034372501997","0.8407034372501997"
"64","35717","35717","35717","0.8489648281374899","0.8489648281374899","0.8489648281374899"
"66","36833","36833","36833","0.8525579536370903","0.8525579536370903","0.8525579536370903"
"67","37391","37391","37391","0.8516706634692246","0.8516706634692246","0.8516706634692246"
"68","37949","37949","37949","0.8532254196642686","0.8532254196642686","0.8532254196642686"
"69","38507","38507","38507","0.855599520383693","0.855599520383693","0.855599520383693"
"70","39065","39065","39065","0.8574660271782574","0.8574660271782574","0.8574660271782574"
"71","39623","39623","39623","0.8552517985611511","0.8552517985611511","0.8552517985611511"
