"Epoch","fast-tree-19 - _step","fast-tree-19 - _step__MIN","fast-tree-19 - _step__MAX","fast-tree-19 - Train accuracy","fast-tree-19 - Train accuracy__MIN","fast-tree-19 - Train accuracy__MAX"
"1","500","500","500","0.29484000000000005","0.29484000000000005","0.29484000000000005"
"4","2007","2007","2007","0.51088","0.51088","0.51088"
"6","3011","3011","3011","0.59748","0.59748","0.59748"
"7","3513","3513","3513","0.6202000000000001","0.6202000000000001","0.6202000000000001"
"8","4015","4015","4015","0.6401600000000001","0.6401600000000001","0.6401600000000001"
"10","5019","5019","5019","0.66564","0.66564","0.66564"
"11","5521","5521","5521","0.67832","0.67832","0.67832"
"12","6024","6024","6024","0.6932","0.6932","0.6932"
"13","6526","6526","6526","0.7101","0.7101","0.7101"
"14","7028","7028","7028","0.71488","0.71488","0.71488"
"16","8032","8032","8032","0.74152","0.74152","0.74152"
"21","10542","10542","10542","0.7805200000000001","0.7805200000000001","0.7805200000000001"
"22","11045","11045","11045","0.78886","0.78886","0.78886"
"24","12049","12049","12049","0.7985","0.7985","0.7985"
"26","13053","13053","13053","0.81002","0.81002","0.81002"
"28","14057","14057","14057","0.81874","0.81874","0.81874"
"29","14559","14559","14559","0.8221600000000001","0.8221600000000001","0.8221600000000001"
"30","15061","15061","15061","0.8277","0.8277","0.8277"
"31","15563","15563","15563","0.83224","0.83224","0.83224"
"33","16568","16568","16568","0.8416600000000001","0.8416600000000001","0.8416600000000001"
"34","17070","17070","17070","0.84474","0.84474","0.84474"
"35","17572","17572","17572","0.84478","0.84478","0.84478"
"36","18074","18074","18074","0.85148","0.85148","0.85148"
"38","19078","19078","19078","0.8591199999999999","0.8591199999999999","0.8591199999999999"
"39","19580","19580","19580","0.86032","0.86032","0.86032"
"41","20584","20584","20584","0.8642799999999999","0.8642799999999999","0.8642799999999999"
"42","21087","21087","21087","0.86894","0.86894","0.86894"
"44","22091","22091","22091","0.8749600000000001","0.8749600000000001","0.8749600000000001"
"47","23597","23597","23597","0.88266","0.88266","0.88266"
"48","24099","24099","24099","0.88408","0.88408","0.88408"
"51","25605","25605","25605","0.89066","0.89066","0.89066"
"52","26108","26108","26108","0.89178","0.89178","0.89178"
"53","26610","26610","26610","0.8934200000000001","0.8934200000000001","0.8934200000000001"
"54","27112","27112","27112","0.89424","0.89424","0.89424"
"55","27614","27614","27614","0.89852","0.89852","0.89852"
"59","29622","29622","29622","0.90212","0.90212","0.90212"
"61","30626","30626","30626","0.90712","0.90712","0.90712"
"62","31129","31129","31129","0.90954","0.90954","0.90954"
"63","31631","31631","31631","0.90924","0.90924","0.90924"
"65","32635","32635","32635","0.9130199999999999","0.9130199999999999","0.9130199999999999"
"67","33639","33639","33639","0.91486","0.91486","0.91486"
"68","34141","34141","34141","0.9157799999999999","0.9157799999999999","0.9157799999999999"
"69","34643","34643","34643","0.91598","0.91598","0.91598"
"70","35145","35145","35145","0.9179199999999998","0.9179199999999998","0.9179199999999998"
"71","35647","35647","35647","0.9194199999999999","0.9194199999999999","0.9194199999999999"
"76","38158","38158","38158","0.92576","0.92576","0.92576"
"79","39664","39664","39664","0.92722","0.92722","0.92722"
"80","40166","40166","40166","0.92774","0.92774","0.92774"
"81","40668","40668","40668","0.9303799999999999","0.9303799999999999","0.9303799999999999"
"82","41171","41171","41171","0.93124","0.93124","0.93124"
"83","41673","41673","41673","0.9311799999999999","0.9311799999999999","0.9311799999999999"
"84","42175","42175","42175","0.9328599999999999","0.9328599999999999","0.9328599999999999"
"85","42677","42677","42677","0.93326","0.93326","0.93326"
"86","43179","43179","43179","0.93236","0.93236","0.93236"
"87","43681","43681","43681","0.9348599999999999","0.9348599999999999","0.9348599999999999"
"88","44183","44183","44183","0.93712","0.93712","0.93712"
"91","45689","45689","45689","0.9381799999999999","0.9381799999999999","0.9381799999999999"
"92","46192","46192","46192","0.94024","0.94024","0.94024"
"93","46694","46694","46694","0.93852","0.93852","0.93852"
"94","47196","47196","47196","0.9399399999999998","0.9399399999999998","0.9399399999999998"
"96","48200","48200","48200","0.9408599999999999","0.9408599999999999","0.9408599999999999"
"98","49204","49204","49204","0.9432399999999999","0.9432399999999999","0.9432399999999999"
"99","49706","49706","49706","0.9425999999999999","0.9425999999999999","0.9425999999999999"
"100","50208","50208","50208","0.9439799999999999","0.9439799999999999","0.9439799999999999"
"101","50710","50710","50710","0.94546","0.94546","0.94546"
"105","52719","52719","52719","0.94666","0.94666","0.94666"
"108","54225","54225","54225","0.9498799999999998","0.9498799999999998","0.9498799999999998"
"109","54727","54727","54727","0.94896","0.94896","0.94896"
"111","55731","55731","55731","0.951","0.951","0.951"
"112","56234","56234","56234","0.9524199999999998","0.9524199999999998","0.9524199999999998"
"114","57238","57238","57238","0.95298","0.95298","0.95298"
"115","57740","57740","57740","0.95344","0.95344","0.95344"
"116","58242","58242","58242","0.9539200000000001","0.9539200000000001","0.9539200000000001"
"118","59246","59246","59246","0.95618","0.95618","0.95618"
"120","60250","60250","60250","0.9566800000000001","0.9566800000000001","0.9566800000000001"
"121","60752","60752","60752","0.95626","0.95626","0.95626"
"122","61255","61255","61255","0.95772","0.95772","0.95772"
"123","61757","61757","61757","0.95816","0.95816","0.95816"
"124","62259","62259","62259","0.9575","0.9575","0.9575"
"125","62761","62761","62761","0.95824","0.95824","0.95824"
"127","63765","63765","63765","0.9604400000000001","0.9604400000000001","0.9604400000000001"
"129","64769","64769","64769","0.9616399999999999","0.9616399999999999","0.9616399999999999"
"131","65773","65773","65773","0.96192","0.96192","0.96192"
"132","66276","66276","66276","0.9622200000000001","0.9622200000000001","0.9622200000000001"
"133","66778","66778","66778","0.9636399999999999","0.9636399999999999","0.9636399999999999"
"135","67782","67782","67782","0.9649000000000001","0.9649000000000001","0.9649000000000001"
"136","68284","68284","68284","0.9641600000000001","0.9641600000000001","0.9641600000000001"
"137","68786","68786","68786","0.9634599999999999","0.9634599999999999","0.9634599999999999"
"140","70292","70292","70292","0.9664","0.9664","0.9664"
"142","71297","71297","71297","0.9695","0.9695","0.9695"
"145","72803","72803","72803","0.9677800000000001","0.9677800000000001","0.9677800000000001"
"146","73305","73305","73305","0.9694200000000001","0.9694200000000001","0.9694200000000001"
"147","73807","73807","73807","0.9694","0.9694","0.9694"
"148","74309","74309","74309","0.9711600000000001","0.9711600000000001","0.9711600000000001"
"149","74811","74811","74811","0.9698800000000001","0.9698800000000001","0.9698800000000001"
"150","75313","75313","75313","0.9719200000000001","0.9719200000000001","0.9719200000000001"
"151","75815","75815","75815","0.97134","0.97134","0.97134"
"153","76820","76820","76820","0.97156","0.97156","0.97156"
"155","77824","77824","77824","0.9723200000000001","0.9723200000000001","0.9723200000000001"
"156","78326","78326","78326","0.9748000000000001","0.9748000000000001","0.9748000000000001"
"157","78828","78828","78828","0.97394","0.97394","0.97394"
"158","79330","79330","79330","0.9753600000000001","0.9753600000000001","0.9753600000000001"
"160","80334","80334","80334","0.9757","0.9757","0.9757"
"161","80836","80836","80836","0.9773800000000001","0.9773800000000001","0.9773800000000001"
"162","81339","81339","81339","0.97562","0.97562","0.97562"
"163","81841","81841","81841","0.977","0.977","0.977"
